# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
A-10-Thunderbolt-II.jpg,"A-10 Thunderbolt II"
AH-64-Apache.jpg,"AH-64 Apache"
Airbus-A320.jpg,"Airbus A320"
Airbus-A380.jpg,"Airbus A380"
Antonov-An-225.jpg,"Antonov An-225"
Avro-Lancaster.jpg,"Avro Lancaster"
B-2-Spirit.jpg,"B-2 Spirit"
B-17-Flying-Fortress.jpg,"B-17 Flying Fortress"
B-52-Stratofortress.jpg,"B-52 Stratofortress"
Boeing-737.jpg,"Boeing 737"
Boeing-747.jpg,"Boeing 747"
Boeing-787-Dreamliner.jpg,"Boeing 787 Dreamliner"
C-130-Hercules.jpg,"C-130 Hercules"
Cessna-172.jpg,"Cessna 172"
CH-47-Chinook.jpg,"CH-47 Chinook"
Concorde.jpg,Concorde
Dassault-Rafale.jpg,"Dassault Rafale"
Douglas-DC-3.jpg,"Douglas DC-3"
Eurofighter-Typhoon.jpg,"Eurofighter Typhoon"
F-4-Phantom-II.jpg,"F-4 Phantom II"
F-14-Tomcat.jpg,"F-14 Tomcat"
F-15-Eagle.jpg,"F-15 Eagle"
F-16-Fighting-Falcon.jpg,"F-16 Fighting Falcon"
F-22-Raptor.jpg,"F-22 Raptor"
F-35-Lightning-II.jpg,"F-35 Lightning II"
Harrier.jpg,Harrier
Hawker-Hurricane.jpg,"Hawker Hurricane"
Junkers-Ju-87-Stuka.jpg,"Junkers Ju 87 Stuka"
Messerschmitt-Bf-109.jpg,"Messerschmitt Bf 109"
MiG-21.jpg,MiG-21
MiG-29.jpg,MiG-29
Mitsubishi-A6M-Zero.jpg,"Mitsubishi A6M Zero"
P-51-Mustang.jpg,"P-51 Mustang"
Saab-Gripen.jpg,"Saab Gripen"
Spitfire.jpg,Spitfire
SR-71-Blackbird.jpg,"SR-71 Blackbird"
Su-27.jpg,Su-27
U-2.jpg,U-2
UH-60-Black-Hawk.jpg,"UH-60 Black Hawk"
V-22-Osprey.jpg,"V-22 Osprey"
Wright-Flyer.jpg,"Wright Flyer"
