# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
American-Bison.jpg,"American Bison"
Arctic-Fox.jpg,"Arctic Fox"
Atlantic-Puffin.jpg,"Atlantic Puffin"
Axolotl.jpg,Axolotl
Bald-Eagle.jpg,"Bald Eagle"
Barn-Owl.jpg,"Barn Owl"
Blue-Whale.jpg,"Blue Whale"
Brown-Bear.jpg,"Brown Bear"
Chameleon.jpg,Chameleon
Cheetah.jpg,Cheetah
Chimpanzee.jpg,Chimpanzee
Dolphin.jpg,Dolphin
Elephant.jpg,Elephant
Emperor-Penguin.jpg,"Emperor Penguin"
Flamingo.jpg,Flamingo
Giant-Panda.jpg,"Giant Panda"
Giraffe.jpg,Giraffe
Golden-Eagle.jpg,"Golden Eagle"
Gorilla.jpg,Gorilla
Great-White-Shark.jpg,"Great White Shark"
Green-Sea-Turtle.jpg,"Green Sea Turtle"
Hedgehog.jpg,Hedgehog
Hippopotamus.jpg,Hippopotamus
Honey-Bee.jpg,"Honey Bee"
Jaguar.jpg,Jaguar
King-Cobra.jpg,"King Cobra"
Koala.jpg,Koala
Komodo-Dragon.jpg,"Komodo Dragon"
Leopard.jpg,Leopard
Lion.jpg,Lion
Manta-Ray.jpg,"Manta Ray"
Meerkat.jpg,Meerkat
Monarch-Butterfly.jpg,"Monarch Butterfly"
Moose.jpg,Moose
Narwhal.jpg,Narwhal
Nile-Crocodile.jpg,"Nile Crocodile"
Octopus.jpg,Octopus
Orangutan.jpg,Orangutan
Orca.jpg,Orca
Ostrich.jpg,Ostrich
Peacock.jpg,Peacock
Platypus.jpg,Platypus
Polar-Bear.jpg,"Polar Bear"
Raccoon.jpg,Raccoon
Red-Fox.jpg,"Red Fox"
Red-Kangaroo.jpg,"Red Kangaroo"
Sea-Otter.jpg,"Sea Otter"
Seahorse.jpg,Seahorse
Sloth.jpg,Sloth
Snow-Leopard.jpg,"Snow Leopard"
Tiger.jpg,Tiger
Toucan.jpg,Toucan
White-Rhinoceros.jpg,"White Rhinoceros"
Wolf.jpg,Wolf
Zebra.jpg,Zebra
