# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Akira.jpg,Akira
Attack-on-Titan.jpg,"Attack on Titan"
Berserk.png,Berserk
Black-Clover.jpg,"Black Clover"
Bleach.png,Bleach
Chainsaw-Man.jpg,"Chainsaw Man"
Code-Geass.jpg,"Code Geass"
Cowboy-Bebop.jpg,"Cowboy Bebop"
Death-Note.jpg,"Death Note"
Demon-Slayer.jpg,"Demon Slayer"
Dr-Stone.jpg,"Dr. Stone"
Dragon-Ball.png,"Dragon Ball"
Fairy-Tail.jpg,"Fairy Tail"
Fullmetal-Alchemist.jpg,"Fullmetal Alchemist"
Ghost-in-the-Shell.jpg,"Ghost in the Shell"
Gintama.png,Gintama
Haikyu.jpg,Haikyu!!
Hunter-x-Hunter.png,"Hunter x Hunter"
Inuyasha.png,Inuyasha
JoJo-s-Bizarre-Adventure.jpg,"JoJo's Bizarre Adventure"
Jujutsu-Kaisen.jpg,"Jujutsu Kaisen"
KonoSuba.jpg,KonoSuba
Made-in-Abyss.jpg,"Made in Abyss"
Mob-Psycho-100.jpg,"Mob Psycho 100"
Monster.jpg,Monster
My-Hero-Academia.png,"My Hero Academia"
Naruto.jpg,Naruto
Neon-Genesis-Evangelion.png,"Neon Genesis Evangelion"
One-Piece.jpg,"One Piece"
One-Punch-Man.png,"One-Punch Man"
Overlord.jpg,Overlord
Parasyte.png,Parasyte
Re-Zero.jpg,Re:Zero
Sailor-Moon.jpg,"Sailor Moon"
Samurai-Champloo.jpg,"Samurai Champloo"
Spy-x-Family.jpg,"Spy x Family"
Steins-Gate.jpg,Steins;Gate
Sword-Art-Online.jpg,"Sword Art Online"
Tokyo-Ghoul.jpg,"Tokyo Ghoul"
Trigun.png,Trigun
Vinland-Saga.jpg,"Vinland Saga"
Your-Lie-in-April.png,"Your Lie in April"
Yu-Yu-Hakusho.png,"Yu Yu Hakusho"
