# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
#tema=Rock Bands
AC-DC.jpg,AC/DC
Aerosmith.jpg,Aerosmith
Black-Sabbath.jpg,"Black Sabbath"
Bon-Jovi.png,"Bon Jovi"
Creedence-Clearwater-Revival.jpg,"Creedence Clearwater Revival"
Deep-Purple.jpg,"Deep Purple"
Dire-Straits.jpg,"Dire Straits"
Eagles.jpg,Eagles
Fleetwood-Mac.webp,"Fleetwood Mac"
Foo-Fighters.jpg,"Foo Fighters"
Green-Day.jpg,"Green Day"
Guns-n-Roses.jpg,"Guns N' Roses"
Iron-Maiden.jpg,"Iron Maiden"
Kiss.jpg,Kiss
Led-Zeppelin.jpg,"Led Zeppelin"
Linkin-Park.jpg,"Linkin Park"
Metallica.png,Metallica
Muse.jpg,Muse
Nirvana.jpg,Nirvana
Oasis.webp,Oasis
Pearl-Jam.jpg,"Pearl Jam"
Pink-Floyd.jpg,"Pink Floyd"
Queen.jpg,Queen
RadioHead.png,Radiohead
Rage-Against-The-Machine.jpg,"Rage Against the Machine"
Red-Hot-Chili-Peppers.jpg,"Red Hot Chili Peppers"
Scorpions.jpg,Scorpions
The-Beatles.webp,"The Beatles"
The-Clash.jpg,"The Clash"
The-Doors.jfif,"The Doors"
The-Jimi-Hendrix-Experience.jpg,"The Jimi Hendrix Experience"
The-Rolling-Stones.jpg,"The Rolling Stones"
The-Who.jpg,"The Who"
U2.jpg,U2
Van-Halen.jpg,"Van Halen"
ZZ-Top.jpg,"ZZ Top"
