# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Amstel.jpg,Amstel
Asahi.jpg,Asahi
Beck-s.jpg,Beck's
Brahma.jpg,Brahma
Carlsberg.png,Carlsberg
Castle-Lager.jpg,"Castle Lager"
Chimay.png,Chimay
Coors-Light.jpg,"Coors Light"
Corona.png,Corona
Delirium-Tremens.jpg,"Delirium Tremens"
Duvel.gif,Duvel
Erdinger.png,Erdinger
Estrella-Damm.jpg,"Estrella Damm"
Franziskaner.jpg,Franziskaner
Grolsch.jpg,Grolsch
Guinness.png,Guinness
Heineken.jpg,Heineken
Hoegaarden.jpg,Hoegaarden
Kirin.jpg,Kirin
Kronenbourg-1664.jpg,"Kronenbourg 1664"
Leffe.png,Leffe
Miller-Lite.png,"Miller Lite"
Modelo-Especial.jpg,"Modelo Especial"
Paulaner.jpg,Paulaner
Peroni.jpg,Peroni
Pilsner-Urquell.png,"Pilsner Urquell"
Quilmes.png,Quilmes
Rochefort.jpg,Rochefort
Sagres.jpg,Sagres
Sapporo.png,Sapporo
Singha.jpg,Singha
Stella-Artois.jpg,"Stella Artois"
Super-Bock.png,"Super Bock"
Tsingtao.jpg,Tsingtao
Vedett.jpg,Vedett
Weihenstephaner.png,Weihenstephaner
Westvleteren.jpg,Westvleteren
