# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Abyssinian.jpg,Abyssinian
American-Shorthair.jpg,"American Shorthair"
Balinese.png,Balinese
Bengal.jpg,Bengal
Birman.jpg,Birman
Bombay.jpg,Bombay
British-Shorthair.jpg,"British Shorthair"
Burmese.jpg,Burmese
Chartreux.jpg,Chartreux
Cornish-Rex.jpg,"Cornish Rex"
Devon-Rex.jpg,"Devon Rex"
Egyptian-Mau.jpg,"Egyptian Mau"
Exotic-Shorthair.jpg,"Exotic Shorthair"
Himalayan.jpg,Himalayan
Japanese-Bobtail.jpg,"Japanese Bobtail"
Korat.jpg,Korat
Maine-Coon.jpg,"Maine Coon"
Manx.jpg,Manx
Munchkin.jpg,Munchkin
Nebelung.jpg,Nebelung
Norwegian-Forest-Cat.jpg,"Norwegian Forest Cat"
Ocicat.jpg,Ocicat
Oriental-Shorthair.jpg,"Oriental Shorthair"
Persian.jpg,Persian
Ragdoll.jpg,Ragdoll
Russian-Blue.jpg,"Russian Blue"
Savannah.jpg,Savannah
Scottish-Fold.jpg,"Scottish Fold"
Selkirk-Rex.jpg,"Selkirk Rex"
Siamese.jpg,Siamese
Siberian.jpg,Siberian
Somali.jpg,Somali
Sphynx.jpg,Sphynx
Tonkinese.jpg,Tonkinese
Turkish-Angora.jpg,"Turkish Angora"
Turkish-Van.png,"Turkish Van"
