# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Alfa-Romeo-Giulia.jpg,"Alfa Romeo Giulia"
Aston-Martin-DB5.jpg,"Aston Martin DB5"
BMW-M3.jpg,"BMW M3"
Chevrolet-Corvette.jpg,"Chevrolet Corvette"
Citroen-DS.jpg,"Citroen DS"
DeLorean.jpg,DeLorean
Dodge-Charger.jpg,"Dodge Charger"
Ferrari-250-GTO.jpg,"Ferrari 250 GTO"
Ferrari-F40.jpg,"Ferrari F40"
Fiat-500.jpg,"Fiat 500"
Ford-Mustang.jpg,"Ford Mustang"
Jaguar-E-Type.jpg,"Jaguar E-Type"
Lamborghini-Countach.jpg,"Lamborghini Countach"
Lamborghini-Miura.jpg,"Lamborghini Miura"
Lancia-Delta.jpg,"Lancia Delta"
Mazda-RX-7.jpg,"Mazda RX-7"
Mercedes-300-SL.jpg,"Mercedes 300 SL"
Mini-Cooper.jpg,"Mini Cooper"
Nissan-Skyline-GT-R.jpg,"Nissan Skyline GT-R"
Peugeot-205-GTI.jpg,"Peugeot 205 GTI"
Porsche-911.jpg,"Porsche 911"
Shelby-Cobra.jpg,"Shelby Cobra"
Toyota-Supra.png,"Toyota Supra"
Volkswagen-Beetle.jpg,"Volkswagen Beetle"
