# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Bloody-Mary.jpg,"Bloody Mary"
Caipirinha.jpg,Caipirinha
Cosmopolitan.jpg,Cosmopolitan
Daiquiri.jpg,Daiquiri
Espresso-Martini.jpg,"Espresso Martini"
Gin-and-Tonic.jpg,"Gin and Tonic"
Long-Island-Iced-Tea.jpg,"Long Island Iced Tea"
Mai-Tai.jpg,"Mai Tai"
Manhattan.jpg,Manhattan
Margarita.jpg,Margarita
Martini.jpg,Martini
Mojito.jpg,Mojito
Moscow-Mule.jpg,"Moscow Mule"
Negroni.jpg,Negroni
Old-Fashioned.jpg,"Old Fashioned"
Pina-Colada.jpg,"Pina Colada"
Porto-Tonico.jpg,"Porto Tonico"
Sangria.jpg,Sangria
Sazerac.jpg,Sazerac
Tom-Collins.jpg,"Tom Collins"
Whiskey-Sour.jpg,"Whiskey Sour"
