# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Allosaurus.jpg,Allosaurus
Ankylosaurus.jpg,Ankylosaurus
Apatosaurus.jpg,Apatosaurus
Archaeopteryx.jpg,Archaeopteryx
Argentinosaurus.png,Argentinosaurus
Brachiosaurus.jpg,Brachiosaurus
Carnotaurus.jpg,Carnotaurus
Deinonychus.jpg,Deinonychus
Dilophosaurus.jpg,Dilophosaurus
Diplodocus.jpg,Diplodocus
Giganotosaurus.jpg,Giganotosaurus
Iguanodon.jpg,Iguanodon
Mosasaurus.jpg,Mosasaurus
Pachycephalosaurus.jpg,Pachycephalosaurus
Parasaurolophus.jpg,Parasaurolophus
Pteranodon.jpg,Pteranodon
Quetzalcoatlus.jpg,Quetzalcoatlus
Spinosaurus.jpg,Spinosaurus
Stegosaurus.jpg,Stegosaurus
Therizinosaurus.jpg,Therizinosaurus
Triceratops.jpg,Triceratops
Tyrannosaurus.jpg,Tyrannosaurus
Utahraptor.jpg,Utahraptor
Velociraptor.jpg,Velociraptor
