# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Akita.png,Akita
Australian-Shepherd.jpg,"Australian Shepherd"
Beagle.jpg,Beagle
Border-Collie.jpg,"Border Collie"
Boxer.jpg,Boxer
Bulldog.jpg,Bulldog
Chihuahua.jpg,Chihuahua
Cocker-Spaniel.jpg,"Cocker Spaniel"
Dalmatian.jpg,Dalmatian
Dobermann.jpg,Dobermann
French-Bulldog.jpg,"French Bulldog"
German-Shepherd.jpg,"German Shepherd"
Golden-Retriever.jpg,"Golden Retriever"
Great-Dane.jpg,"Great Dane"
Labrador.jpg,Labrador
Poodle.jpg,Poodle
Portuguese-Water-Dog.jpg,"Portuguese Water Dog"
Pug.jpg,Pug
Rottweiler.jpg,Rottweiler
Saint-Bernard.jpg,"Saint Bernard"
Shiba-Inu.jpg,"Shiba Inu"
Shih-Tzu.jpg,"Shih Tzu"
Siberian-Husky.jpg,"Siberian Husky"
Yorkshire-Terrier.jpg,"Yorkshire Terrier"
