# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Amsterdam.png,Amsterdam
Athens.jpg,Athens
Berlin.jpg,Berlin
Bratislava.jpg,Bratislava
Brussels.jpg,Brussels
Bucharest.jpg,Bucharest
Budapest.jpg,Budapest
Copenhagen.jpg,Copenhagen
Dublin.jpg,Dublin
Helsinki.jpg,Helsinki
Lisbon.jpg,Lisbon
Ljubljana.jpg,Ljubljana
London.jpg,London
Madrid.jpg,Madrid
Oslo.jpg,Oslo
Paris.jpg,Paris
Prague.jpg,Prague
Reykjavik.jpg,Reykjavik
Rome.jpg,Rome
Stockholm.jpg,Stockholm
Tallinn.jpg,Tallinn
Vienna.jpg,Vienna
Warsaw.jpg,Warsaw
Zagreb.jpg,Zagreb
