# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
#tema=Movies
300.jpeg,300
Alien.jpg,Alien
American-History-X.png,"American History X"
Avatar.jpeg,Avatar
Avengers-Endgame.jpg,"Avengers: Endgame"
Back-to-the-Future.jpg,"Back to the Future"
Book-of-Eli.jpeg,"The Book of Eli"
Catch-Me-If-You-Can.jpg,"Catch Me If You Can"
Da-Vinci-Code.jpeg,"The Da Vinci Code"
Django-Unchained.jpeg,"Django Unchained"
Dune.jpg,Dune
E-T-the-Extra-Terrestrial.jpg,"E.T. the Extra-Terrestrial"
Fight-Club.jpeg,"Fight Club"
Forest-Gump.jpeg,"Forrest Gump"
Gladiador.jpeg,Gladiator
Good-Will-Hunting.jpeg,"Good Will Hunting"
Goodfellas.jpg,Goodfellas
Hangover.jpeg,"The Hangover"
Heat.jpg,Heat
Inception.jpeg,Inception
Inglorious-Basterds.jpeg,"Inglourious Basterds"
Interstellar.jpg,Interstellar
Jaws.jpg,Jaws
John-Wick.jpg,"John Wick"
Joker.jpg,Joker
Jurassic-Park.jpg,"Jurassic Park"
La-La-Land.png,"La La Land"
Leon-The-Professional.jpg,"Leon: The Professional"
Mad-Max-Fury-Road.jpg,"Mad Max: Fury Road"
Matrix.jpeg,"The Matrix"
Memento.jpeg,Memento
No-Country-fol-Old-men.jpeg,"No Country for Old Men"
Oppenheimer.jpg,Oppenheimer
Parasite.png,Parasite
Prometheus.jpeg,Prometheus
Pulp-Fiction.jpeg,"Pulp Fiction"
Raiders-of-the-Lost-Ark.jpg,"Raiders of the Lost Ark"
Rocky.jpg,Rocky
Saving-Private-Ryan.jpeg,"Saving Private Ryan"
Scarface.jpg,Scarface
Schindler-s-List.jpg,"Schindler's List"
Se7en.jpg,Se7en
Shutter-Island.jpeg,"Shutter Island"
Spider-Man-Across-the-Spider-Verse.jpg,"Spider-Man: Across the Spider-Verse"
Spirited-Away.png,"Spirited Away"
Star-Wars.png,"Star Wars"
Terminator-2.png,"Terminator 2"
The-Big-Lebowski.jpg,"The Big Lebowski"
The-Dark-Knight.jpeg,"The Dark Knight"
The-Departed.jpg,"The Departed"
The-Godfather-Part-II.jpg,"The Godfather Part II"
The-Godfather.jpg,"The Godfather"
The-Green-Mile.jpg,"The Green Mile"
The-Lion-King.jpg,"The Lion King"
The-Lord-of-the-Rings-The-Fellowship-of-the-Ring.jpg,"The Lord of the Rings: The Fellowship of the Ring"
The-Prestige.jpg,"The Prestige"
The-Shawshank-Redemption.jpg,"The Shawshank Redemption"
The-Silence-of-the-Lambs.jpg,"The Silence of the Lambs"
The-Truman-Show.jpg,"The Truman Show"
The-Wolf-of-Wall-Street.png,"The Wolf of Wall Street"
Titanic.png,Titanic
Toy-Story.jpg,"Toy Story"
Up.jpg,Up
WALL-E.jpg,WALL-E
Whiplash.jpg,Whiplash
