# ficheiro,nome a mostrar
#
# Os pratos portugueses ficam com o nome português — é assim que se chamam
# também em inglês. Só os genéricos é que foram traduzidos.
alheira.jpg,Alheira
Arroz-de-cabidelas.jfif,"Arroz de Cabidela"
arroz_pato.jpg,"Arroz de Pato"
Bacalhau-a-Lagareiro.jpg,"Bacalhau à Lagareiro"
bacalhau_braz.jpg,"Bacalhau à Brás"
bife.jpg,Steak
Bolonhesa.webp,"Spaghetti Bolognese"
Carbonara.jpg,Carbonara
carne-de-porco-a-alentejana.jpg,"Carne de Porco à Alentejana"
cheeseburger.jpg,Cheeseburger
cozido.jpg,"Cozido à Portuguesa"
Dobrada.jpg,Dobrada
feijoada_transmontana.jpg,"Feijoada à Transmontana"
francesinha.jpg,Francesinha
Frango-Piri-Piri.jfif,"Piri-Piri Chicken"
Kebab.jpg,Kebab
lasanha.jpg,Lasagna
Pad-Thai.webp,"Pad Thai"
Paella-de-marisco.jpeg,"Seafood Paella"
polvo_Lagareiro.jpg,"Polvo à Lagareiro"
Ramen.jpg,Ramen
rojoes.jfif,Rojões
Sardinhas.jpg,"Grilled Sardines"
sushi.jpg,Sushi
Tacos.jpg,Tacos
Tripas-a-modo-do-Porto.jfif,"Tripas à Moda do Porto"
