# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Andres-Iniesta.jpg,"Andres Iniesta"
Bernardo-Silva.jpg,"Bernardo Silva"
Cristiano-Ronaldo.jpg,"Cristiano Ronaldo"
Deco.jpg,Deco
Diego-Maradona.jpg,"Diego Maradona"
Erling-Haaland.jpg,"Erling Haaland"
Eusebio.jpg,Eusebio
Gianluigi-Buffon.jpg,"Gianluigi Buffon"
Iker-Casillas.jpg,"Iker Casillas"
Kevin-De-Bruyne.jpg,"Kevin De Bruyne"
Kylian-Mbappe.jpg,"Kylian Mbappe"
Lionel-Messi.jpg,"Lionel Messi"
Luis-Figo.jpg,"Luis Figo"
Luka-Modric.jpg,"Luka Modric"
Mohamed-Salah.jpg,"Mohamed Salah"
Neymar.jpg,Neymar
Pele.jpg,Pele
Robert-Lewandowski.jpg,"Robert Lewandowski"
Ronaldinho.jpg,Ronaldinho
Ronaldo.jpg,Ronaldo
Rui-Costa.png,"Rui Costa"
Virgil-van-Dijk.jpg,"Virgil van Dijk"
Xavi.jpg,Xavi
Zinedine-Zidane.jpg,"Zinedine Zidane"
