# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Afonso-de-Albuquerque.png,"Afonso de Albuquerque"
Alexander-Suvorov.jpg,"Alexander Suvorov"
Alexander-the-Great.jpg,"Alexander the Great"
Attila.jpg,Attila
Belisarius.jpg,Belisarius
Bernard-Montgomery.jpg,"Bernard Montgomery"
Charles-Martel.jpg,"Charles Martel"
Douglas-MacArthur.jpg,"Douglas MacArthur"
Duke-of-Marlborough.jpg,"Duke of Marlborough"
Duke-of-Wellington.jpg,"Duke of Wellington"
Dwight-D-Eisenhower.jpg,"Dwight D. Eisenhower"
El-Cid.jpg,"El Cid"
Erwin-Rommel.jpg,"Erwin Rommel"
Frederick-the-Great.jpg,"Frederick the Great"
Genghis-Khan.jpg,"Genghis Khan"
George-S-Patton.jpg,"George S. Patton"
George-Washington.jpg,"George Washington"
Georgy-Zhukov.jpg,"Georgy Zhukov"
Gustavus-Adolphus.jpg,"Gustavus Adolphus"
Hannibal.jpg,Hannibal
Horatio-Nelson.jpg,"Horatio Nelson"
Joan-of-Arc.jpg,"Joan of Arc"
Julius-Caesar.jpg,"Julius Caesar"
Mikhail-Kutuzov.jpg,"Mikhail Kutuzov"
Napoleon.jpg,Napoleon
Nuno-Alvares-Pereira.jpg,"Nuno Alvares Pereira"
Oda-Nobunaga.jpg,"Oda Nobunaga"
Oliver-Cromwell.jpg,"Oliver Cromwell"
Prince-Eugene-of-Savoy.png,"Prince Eugene of Savoy"
Robert-E-Lee.jpg,"Robert E. Lee"
Saladin.jpg,Saladin
Scipio-Africanus.jpg,"Scipio Africanus"
Shaka-Zulu.jpg,"Shaka Zulu"
Stonewall-Jackson.jpg,"Stonewall Jackson"
Subutai.jpg,Subutai
Sun-Tzu.jpg,"Sun Tzu"
Timur.jpg,Timur
Tokugawa-Ieyasu.jpg,"Tokugawa Ieyasu"
Ulysses-S-Grant.jpg,"Ulysses S. Grant"
Vo-Nguyen-Giap.jpg,"Vo Nguyen Giap"
William-Tecumseh-Sherman.jpg,"William Tecumseh Sherman"
Yi-Sun-sin.jpg,"Yi Sun-sin"
