# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Abraham-Lincoln.jpg,"Abraham Lincoln"
Ada-Lovelace.png,"Ada Lovelace"
Alan-Turing.jpg,"Alan Turing"
Albert-Einstein.jpg,"Albert Einstein"
Amelia-Earhart.jpg,"Amelia Earhart"
Archimedes.jpg,Archimedes
Aristotle.jpg,Aristotle
Catherine-the-Great.jpg,"Catherine the Great"
Charlemagne.jpg,Charlemagne
Charles-Darwin.jpg,"Charles Darwin"
Christopher-Columbus.jpg,"Christopher Columbus"
Cleopatra.jpg,Cleopatra
Confucius.jpg,Confucius
Elizabeth-I.jpg,"Elizabeth I"
Ferdinand-Magellan.jpg,"Ferdinand Magellan"
Galileo-Galilei.jpg,"Galileo Galilei"
George-Washington.jpg,"George Washington"
Henry-the-Navigator.jpg,"Henry the Navigator"
Isaac-Newton.jpg,"Isaac Newton"
Joan-of-Arc.jpg,"Joan of Arc"
Leonardo-da-Vinci.png,"Leonardo da Vinci"
Ludwig-van-Beethoven.jpg,"Ludwig van Beethoven"
Mahatma-Gandhi.jpg,"Mahatma Gandhi"
Mansa-Musa.jpg,"Mansa Musa"
Marco-Polo.png,"Marco Polo"
Marcus-Aurelius.jpg,"Marcus Aurelius"
Marie-Curie.jpg,"Marie Curie"
Martin-Luther-King-Jr.jpg,"Martin Luther King Jr."
Michelangelo.jpg,Michelangelo
Neil-Armstrong.jpg,"Neil Armstrong"
Nelson-Mandela.jpg,"Nelson Mandela"
Nicolaus-Copernicus.jpg,"Nicolaus Copernicus"
Nikola-Tesla.jpg,"Nikola Tesla"
Peter-the-Great.jpg,"Peter the Great"
Plato.png,Plato
Ramesses-II.jpg,"Ramesses II"
Rosa-Parks.jpg,"Rosa Parks"
Socrates.jpg,Socrates
Suleiman-the-Magnificent.jpg,"Suleiman the Magnificent"
Thomas-Edison.jpg,"Thomas Edison"
Tutankhamun.jpg,Tutankhamun
Vasco-da-Gama.jpg,"Vasco da Gama"
William-Shakespeare.jpg,"William Shakespeare"
Winston-Churchill.jpg,"Winston Churchill"
Wolfgang-Amadeus-Mozart.jpg,"Wolfgang Amadeus Mozart"
Yuri-Gagarin.jpg,"Yuri Gagarin"
