# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Baklava.png,Baklava
bife.jpg,Steak
Bolonhesa.webp,"Spaghetti Bolognese"
Burrito.jpg,Burrito
Butter-Chicken.jpg,"Butter Chicken"
Carbonara.jpg,Carbonara
Ceviche.jpg,Ceviche
cheeseburger.jpg,Cheeseburger
Churro.jpg,Churro
Croissant.jpg,Croissant
Croque-Monsieur.jpg,"Croque Monsieur"
Curry.jpg,Curry
Dim-Sum.jpg,"Dim Sum"
Dumpling.jpg,Dumpling
Falafel.jpg,Falafel
Fish-and-Chips.jpg,"Fish and Chips"
Hummus.jpg,Hummus
Kebab.jpg,Kebab
lasanha.jpg,Lasagna
Pad-Thai.webp,"Pad Thai"
Paella-de-marisco.jpeg,"Seafood Paella"
Pho.jpg,Pho
Pizza.jpg,Pizza
Poutine.jpg,Poutine
Ramen.jpg,Ramen
sushi.jpg,Sushi
Tacos.jpg,Tacos
Tiramisu.jpg,Tiramisu
