# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
A-Sunday-on-La-Grande-Jatte.jpg,"A Sunday on La Grande Jatte"
American-Gothic.jpg,"American Gothic"
Bal-du-moulin-de-la-Galette.jpg,"Bal du moulin de la Galette"
Cafe-Terrace-at-Night.jpg,"Cafe Terrace at Night"
Christina-s-World.jpg,"Christina's World"
Girl-with-a-Pearl-Earring.jpg,"Girl with a Pearl Earring"
Guernica.jpg,Guernica
Impression-Sunrise.jpg,"Impression, Sunrise"
Las-Meninas.jpg,"Las Meninas"
Liberty-Leading-the-People.jpg,"Liberty Leading the People"
Mona-Lisa.jpg,"Mona Lisa"
Napoleon-Crossing-the-Alps.jpg,"Napoleon Crossing the Alps"
Nighthawks.jpg,Nighthawks
Primavera.jpg,Primavera
Saturn-Devouring-His-Son.jpg,"Saturn Devouring His Son"
Sunflowers.jpg,Sunflowers
The-Arnolfini-Portrait.jpg,"The Arnolfini Portrait"
The-Birth-of-Venus.jpg,"The Birth of Venus"
The-Creation-of-Adam.jpg,"The Creation of Adam"
The-Death-of-Marat.jpg,"The Death of Marat"
The-Fighting-Temeraire.jpg,"The Fighting Temeraire"
The-Garden-of-Earthly-Delights.jpg,"The Garden of Earthly Delights"
The-Great-Wave-off-Kanagawa.jpg,"The Great Wave off Kanagawa"
The-Hay-Wain.jpg,"The Hay Wain"
The-Kiss.jpg,"The Kiss"
The-Last-Supper.jpg,"The Last Supper"
The-Night-Watch.jpg,"The Night Watch"
The-Persistence-of-Memory.jpg,"The Persistence of Memory"
The-School-of-Athens.jpg,"The School of Athens"
The-Scream.jpg,"The Scream"
The-Son-of-Man.jpg,"The Son of Man"
The-Starry-Night.jpg,"The Starry Night"
The-Swing.jpg,"The Swing"
The-Third-of-May-1808.jpg,"The Third of May 1808"
Wanderer-above-the-Sea-of-Fog.jpg,"Wanderer above the Sea of Fog"
Water-Lilies.jpg,"Water Lilies"
Whistler-s-Mother.jpg,"Whistler's Mother"
