# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Aletria.jpg,Aletria
Arroz-Doce.jpg,"Arroz Doce"
Baba-de-Camelo.jpg,"Baba de Camelo"
Bolo-de-Mel.jpg,"Bolo de Mel"
Broa.jpg,Broa
Chocolate-Mousse.jpg,"Chocolate Mousse"
Encharcada.jpg,Encharcada
Fatias-de-Tomar.jpg,"Fatias de Tomar"
Filhos.jpg,Filhos
Leite-Creme.jpg,"Leite Creme"
Ovos-Moles.jpg,"Ovos Moles"
Pao-de-Lo.jpg,"Pao de Lo"
Papos-de-Anjo.jpg,"Papos de Anjo"
Pastel-de-Nata.jpg,"Pastel de Nata"
Pastel-de-Tentugal.jpg,"Pastel de Tentugal"
Queijada.jpg,Queijada
Rabanadas.jpg,Rabanadas
Salame-de-Chocolate.jpg,"Salame de Chocolate"
Serradura.jpg,Serradura
Sonhos.jpg,Sonhos
Toucinho-do-Ceu.jpg,"Toucinho do Ceu"
Travesseiro.jpg,Travesseiro
