# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Aguas-Livres-Aqueduct.jpg,"Aguas Livres Aqueduct"
Alcobaca-Monastery.jpg,"Alcobaca Monastery"
Batalha-Monastery.jpg,"Batalha Monastery"
Belem-Tower.jpg,"Belem Tower"
Bom-Jesus-do-Monte.jpg,"Bom Jesus do Monte"
Cabo-da-Roca.jpg,"Cabo da Roca"
Chapel-of-Bones.jpg,"Chapel of Bones"
Clerigos-Tower.jpg,"Clerigos Tower"
Convent-of-Christ.jpg,"Convent of Christ"
Guimaraes-Castle.jpg,"Guimaraes Castle"
Jeronimos-Monastery.png,"Jeronimos Monastery"
Livraria-Lello.jpg,"Livraria Lello"
Mafra-Palace.jpg,"Mafra Palace"
Padrao-dos-Descobrimentos.jpg,"Padrao dos Descobrimentos"
Pena-Palace.jpg,"Pena Palace"
Porto-Cathedral.jpg,"Porto Cathedral"
Queluz-Palace.jpg,"Queluz Palace"
Quinta-da-Regaleira.jpg,"Quinta da Regaleira"
Sao-Jorge-Castle.jpg,"Sao Jorge Castle"
University-of-Coimbra.png,"University of Coimbra"
