# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
21-Savage.jpg,"21 Savage"
50-Cent.jpg,"50 Cent"
A-AP-Rocky.jpg,"A$AP Rocky"
A-Tribe-Called-Quest.png,"A Tribe Called Quest"
Beastie-Boys.jpg,"Beastie Boys"
Busta-Rhymes.jpg,"Busta Rhymes"
Cardi-B.jpg,"Cardi B"
Cypress-Hill.jpg,"Cypress Hill"
DMX.jpg,DMX
Dr-Dre.png,"Dr. Dre"
Drake.jpg,Drake
Eazy-E.jpg,Eazy-E
Eminem.jpg,Eminem
Ice-Cube.png,"Ice Cube"
Ice-T.jpg,Ice-T
J-Cole.jpg,"J. Cole"
Jay-Z.webp,Jay-Z
Kanye-West.jpg,"Kanye West"
Kendrick-Lamar.jpg,"Kendrick Lamar"
Lauryn-Hill.jpg,"Lauryn Hill"
Lil-Wayne.jpg,"Lil Wayne"
LL-Cool-J.jpg,"LL Cool J"
Ludacris.jpg,Ludacris
Megan-Thee-Stallion.jpg,"Megan Thee Stallion"
Method-Man.jpg,"Method Man"
MF-DOOM.jpg,"MF DOOM"
Missy-Elliott.jpg,"Missy Elliott"
Nas.jpg,Nas
Nicki-Minaj.jpg,"Nicki Minaj"
OutKast.jpg,OutKast
Public-Enemy.jpg,"Public Enemy"
Rakim.jpg,Rakim
Rick-Ross.jpg,"Rick Ross"
Run-DMC.jpg,Run-DMC
Snoop-Dogg.jpg,"Snoop Dogg"
The-Notorious-B-I-G.jpg,"The Notorious B.I.G."
Travis-Scott.png,"Travis Scott"
Tupac-Shakur.jpg,"Tupac Shakur"
Tyler-the-Creator.jpg,"Tyler, the Creator"
Wu-Tang-Clan.jpg,"Wu-Tang Clan"
