# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Ant-Man.jpg,Ant-Man
Aquaman.png,Aquaman
Batgirl.jpg,Batgirl
Batman.jpg,Batman
Black-Panther.png,"Black Panther"
Black-Widow.jpg,"Black Widow"
Blade.png,Blade
Captain-America.jpg,"Captain America"
Captain-Marvel.jpg,"Captain Marvel"
Cyclops.png,Cyclops
Daredevil.jpg,Daredevil
Deadpool.png,Deadpool
Doctor-Strange.jpg,"Doctor Strange"
Ghost-Rider.png,"Ghost Rider"
Green-Arrow.png,"Green Arrow"
Green-Lantern.jpg,"Green Lantern"
Groot.png,Groot
Hawkeye.webp,Hawkeye
Hellboy.jpg,Hellboy
Hulk.png,Hulk
Invincible.jpg,Invincible
Iron-Man.png,"Iron Man"
Jean-Grey.webp,"Jean Grey"
Luke-Cage.png,"Luke Cage"
Magneto.jpg,Magneto
Martian-Manhunter.png,"Martian Manhunter"
Moon-Knight.png,"Moon Knight"
Nightwing.jpg,Nightwing
Professor-X.png,"Professor X"
Punisher.png,Punisher
Robin.png,Robin
Rocket-Raccoon.png,"Rocket Raccoon"
Scarlet-Witch.jpg,"Scarlet Witch"
Shazam.png,Shazam
She-Hulk.jpg,She-Hulk
Silver-Surfer.png,"Silver Surfer"
Spawn.jpg,Spawn
Spider-Man.png,Spider-Man
Star-Lord.png,Star-Lord
Storm.png,Storm
Supergirl.png,Supergirl
Superman.png,Superman
The-Flash.png,"The Flash"
Thor.png,Thor
Venom.png,Venom
Vision.png,Vision
Wolverine.jpg,Wolverine
Wonder-Woman.jpg,"Wonder Woman"
