# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Band-of-Brothers.jpg,"Band of Brothers"
Better-Call-Saul.png,"Better Call Saul"
Breaking-Bad.png,"Breaking Bad"
Bridgerton.png,Bridgerton
Chernobyl.jpg,Chernobyl
Dexter.png,Dexter
Downton-Abbey.jpg,"Downton Abbey"
Fargo.png,Fargo
Game-of-Thrones.jpg,"Game of Thrones"
Homeland.jpg,Homeland
How-I-Met-Your-Mother.png,"How I Met Your Mother"
Lost.png,Lost
Mad-Men.jpg,"Mad Men"
Narcos.jpg,Narcos
Peaky-Blinders.jpg,"Peaky Blinders"
Sherlock.jpg,Sherlock
Stranger-Things.png,"Stranger Things"
The-Big-Bang-Theory.png,"The Big Bang Theory"
The-Boys.png,"The Boys"
The-Crown.jpg,"The Crown"
The-Simpsons.png,"The Simpsons"
The-Wire.png,"The Wire"
True-Detective.jpg,"True Detective"
Vikings.png,Vikings
