# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
#tema=Video Games
Age-of-Empires-II.png,"Age of Empires II"
Among-Us.jpg,"Among Us"
Apex-Legends.jpg,"Apex Legends"
Assassin-Creed-IV-Black-Flag.jpg,"Assassin's Creed IV: Black Flag"
Baldur-s-Gate-3.jpg,"Baldur's Gate 3"
Batman-Arkham-Trilogy.jfif,"Batman: Arkham Trilogy"
BioShock-Trilogy.jpg,"BioShock Trilogy"
Bloodborne.jpg,Bloodborne
Borderlands.jpg,Borderlands
Call-of-Duty-4-Modern-Warfare.jpg,"Call of Duty 4: Modern Warfare"
Celeste.png,Celeste
Civ-V.jpg,"Civilization V"
Control.jpg,Control
Counter-Strike-1.6.jpg,"Counter-Strike 1.6"
Cuphead.png,Cuphead
Cyberpunk-2077.jpg,"Cyberpunk 2077"
Dark-Souls-Trilogy.jpg,"Dark Souls Trilogy"
Dead-Cells.png,"Dead Cells"
Death-Stranding.jpg,"Death Stranding"
Diablo-II.png,"Diablo II"
Disco-Elysium.jpg,"Disco Elysium"
Dishonored.png,Dishonored
Doom-2016-video-game.jpg,"Doom (2016 video game)"
Elden-Ring.jpg,"Elden Ring"
Fallout-NV.jfif,"Fallout: New Vegas"
Final-Fantasy-X.webp,"Final Fantasy X"
Ghost-of-Tsushima.jpg,"Ghost of Tsushima"
God-of-War-Reboot.avif,"God of War (2018)"
God-of-War-Trilogy.jpg,"God of War Trilogy"
Grand-Theft-Auto-V.jpg,"Grand Theft Auto V"
GTA-San-Andreas.jfif,"GTA: San Andreas"
Hades.jpg,Hades
Half-Life-2.jpg,"Half-Life 2"
Halo-Combat-Evolved.jpg,"Halo: Combat Evolved"
Hollow-Knight.jpg,"Hollow Knight"
Horizon-Zero-Dawn.jpg,"Horizon Zero Dawn"
Hotline-Miami.png,"Hotline Miami"
Journey.png,Journey
League-of-Legends.jpg,"League of Legends"
Left-4-Dead-2.jpg,"Left 4 Dead 2"
Limbo.jpg,Limbo
Mass-Effect-Trilogy.jpg,"Mass Effect Trilogy"
Metal-Gear-Solid-Trilogy.jpg,"Metal Gear Solid Trilogy"
Metal-Gear-Solid-V.jpg,"Metal Gear Solid V"
Minecraft.avif,Minecraft
Monster-Hunter-World.jpg,"Monster Hunter: World"
Nier-Automata.jpg,"Nier: Automata"
Ocarina-of-Time.jpg,"Ocarina of Time"
Outer-Wilds.jpg,"Outer Wilds"
Overwatch.jpg,Overwatch
Pac-Man.png,Pac-Man
Persona-5.jpg,"Persona 5"
Pokemon-Red-and-Blue.png,"Pokemon Red and Blue"
Portal-2.jpg,"Portal 2"
Rainbow-Six-Siege.jpg,"Rainbow Six Siege"
Red-Dead-Redemption-2.jpg,"Red Dead Redemption 2"
Resident-Evil-4.jpg,"Resident Evil 4"
Return-of-the-Obra-Dinn.jpg,"Return of the Obra Dinn"
Rocket-League.jpg,"Rocket League"
Sekiro.jpg,Sekiro
Skyrim.jpg,Skyrim
Slay-the-Spire.jpg,"Slay the Spire"
Sonic-the-Hedgehog.jpg,"Sonic the Hedgehog"
StarCraft-II.png,"StarCraft II"
Stardew-Valley.png,"Stardew Valley"
Street-Fighter-II.jpg,"Street Fighter II"
Subnautica.png,Subnautica
Super-Mario-64.png,"Super Mario 64"
Super-Mario-Bros.png,"Super Mario Bros."
Team-Fortress-2.jpg,"Team Fortress 2"
Terraria.jpg,Terraria
Tetris.png,Tetris
The-Last-of-Us.webp,"The Last of Us"
The-Legend-of-Zelda-Breath-of-the-Wild.jpg,"Zelda: Breath of the Wild"
The-Sims.png,"The Sims"
The-Witcher-3-Wild-Hunt.avif,"The Witcher 3: Wild Hunt"
Titanfall-2.jpg,"Titanfall 2"
Uncharted-4.jpg,"Uncharted 4"
Valorant.png,Valorant
World-of-Warcraft.png,"World of Warcraft"
Xcom.jpg,XCOM
