# ficheiro,nome a mostrar — gerado por tools/buscar-imagens.php
Acropolis-of-Athens.jpg,"Acropolis of Athens"
Alhambra.jpg,Alhambra
Angkor-Wat.jpg,"Angkor Wat"
Big-Ben.jpg,"Big Ben"
Burj-Khalifa.jpg,"Burj Khalifa"
Chichen-Itza.jpg,"Chichen Itza"
Christ-the-Redeemer.jpg,"Christ the Redeemer"
Colosseum.jpg,Colosseum
Eiffel-Tower.jpg,"Eiffel Tower"
Golden-Gate-Bridge.jpg,"Golden Gate Bridge"
Great-Wall-of-China.jpg,"Great Wall of China"
Hagia-Sophia.jpg,"Hagia Sophia"
Leaning-Tower-of-Pisa.jpg,"Leaning Tower of Pisa"
Machu-Picchu.jpg,"Machu Picchu"
Moai.jpg,Moai
Mount-Rushmore.jpg,"Mount Rushmore"
Neuschwanstein-Castle.jpg,"Neuschwanstein Castle"
Petra.jpg,Petra
Pyramids-of-Giza.jpg,"Pyramids of Giza"
Sagrada-Familia.jpg,"Sagrada Familia"
Statue-of-Liberty.jpg,"Statue of Liberty"
Stonehenge.jpg,Stonehenge
Sydney-Opera-House.jpg,"Sydney Opera House"
Taj-Mahal.jpg,"Taj Mahal"
